Year,Beijing_GrossDomesticPopulation,Tianjin_GrossDomesticPopulation,Hebei_GrossDomesticPopulation,Shanxi_GrossDomesticPopulation,InnerMongolia_GrossDomesticPopulation,Liaoning_GrossDomesticPopulation,Jilin_GrossDomesticPopulation,Heilongjiang_GrossDomesticPopulation,Shanghai_GrossDomesticPopulation
2000,1364,1001,6674,3247,2372,4184,2682,3807,1609
2001,1385,1004,6699,3272,2381,4194,2691,3811,1668
2002,1423,1007,6735,3294,2384,4203,2699,3813,1713
2003,1456,1011,6769,3314,2386,4210,2704,3815,1766
2004,1493,1024,6809,3335,2393,4217,2709,3817,1835
2005,1538,1043,6851,3355,2403,4221,2716,3820,1890
2006,1601,1075,6898,3375,2415,4271,2723,3823,1964
2007,1676,1115,6943,3393,2429,4298,2730,3824,2064
2008,1771,1176,6989,3411,2444,4315,2734,3825,2141
2009,1860,1228,7034,3427,2458,4341,2740,3826,2210
2010,1962,1299,7194,3574,2472,4375,2727,3833,2303
2011,2019,1355,7241,3593,2482,4383,2749,3834,2347
2012,2069,1413,7228,3611,2490,4389,2750,3834,2380
2013,2115,1472,7333,3630,2498,4390,2751,3835,2415
2014,2152,1517,7384,3648,2505,439,2752,3833,2426
2015,2171,1547,7425,3664,2511,4382,2753,3812,2415
2016,2173,1562,7470,3682,2173,1562,7470,3682,2173
2017,2171,1557,7520,3702,2529,4369,2717,3789,2418